Company Name,Website,Location,Contact Person,Role (Contact Person),Phone Number,Email,Brands Distributed,Equipment Categories Offered,Key Parts and Components Available
Hastings HVAC,https://www.hastingshvac.com/,,,,(800) 228-4243,sales@hastingshvac.com,York,Furnace,"Coil, Duct"
Twin City Fan & Blower - Industrial & Commercial Fan and Blower Manufacturing,https://www.tcf.com/,,,,(763) 551-7600,parts@tcf.com,Gree,"Boiler, Ventilation","Belt, Blower, Duct, Fan, Filter, Motor, Sheave"
High Efficiency Alta Boilers and Combis,https://www.usboiler.net/,,,,(717) 397-4701,,"Gree, LG","Boiler, Heat pump",Duct
,https://2jsupply.com,,,,,,,,
Welcome to AirEase,https://airease.com,,,,(800) 448-5872,,"AirEase, Gree, Lennox","Air conditioner, Air handler, Furnace, Heat pump, Thermostat","Coil, Duct, Thermostat"
who we areand whatwe do.,https://kerrcontrols.ca/,,,,,,"AirEase, Amana, Broan, Concord, Danfoss, Goodman, Gree, Honeywell, Johnson Controls, LG, Nu-Calgon","Controls, Heat pump, Ventilation",Duct
"Quality heating, ventilation, and air conditioning distribution",https://wekingswell.com,,,,(301) 937-1900,john@wekingswell.com,"AirEase, Concord, Honeywell","Air conditioner, Air handler, Boiler, Controls, Furnace, Heat pump, Packaged unit, Ventilation","Belt, Coil, Duct"
We Make Your Job Easier,https://aceshvac.com,"ACES Corporate Headquarters 7314 Impala Drive, Richmond, VA 23228",,,(804) 264-2911,,,Controls,Duct
NEOM Green Hydrogen Production Facility: A Landmark Project,https://airproducts.com,,,,(800) 654-4567,,Gree,,"Circuit board, Duct"
Alliance Air Products,https://allianceairproducts.com,,,,(619) 428-9688,,"Alliance Air Products, Daikin, Daikin Applied","Air handler, Ventilation",Duct
YOUR PARTNER IN BUILDING TECHNOLOGIES,https://long.com,,,,(907) 561-3044,,Trane,Controls,Duct
,https://myiaire.com,,,,,,,,
US Air Conditioning Distributors,https://us-ac.com,,,,(800) 937-7222,,"Broan, Champion, Fieldpiece, Gree, LG, Luxaire, Nu-Calgon, Samsung, York","Controls, Thermostat","Capacitor, Compressor, Duct, Filter, Motor, Refrigerant, Seal, Thermostat"
"Quality, Durable Heating & Air Conditioning Systems From Amana",https://amana-hac.com,,,,,,"Amana, Daikin, Gree, Maytag","Air conditioner, Air handler, Controls, Furnace, Heat pump, Packaged unit, Thermostat","Coil, Duct, Refrigerant, Thermostat"
,https://amana.com,,,,,,,,
GoAmana - Home,https://goamana.com,,,,,,"Amana, Maytag","Furnace, Heat pump","Compressor, Duct"
HVAC Distributors,https://hvacdist.com,,,,(800) 228-4822,,"Daikin, LG, Nu-Calgon","Thermostat, Ventilation","Duct, Refrigerant, Thermostat"
Welcome to acwholesalecenter.com,https://acwholesalecenter.com,,,,(954) 505-9867,info@acwholesalecenter.com,"American Standard, Carrier, Goodman, Lennox, Rheem, Ruud, Trane","Air conditioner, Boiler, Dehumidifier, Furnace, Heat pump, Humidifier, Mini split, Packaged unit, Ventilation","Air filter, Coil, Duct, Expansion valve, Fan, Filter, Grille, Motor, Refrigerant, Uv lamp"
"Inspired by life,   Designed for you since 1875",https://americanstandard-us.com,,,,(800) 215-5130,,"American Standard, Champion, Gree",Thermostat,"Duct, Filter, Sensor"
"Comfort, Made More Sustainable",https://americanstandardair.com,,,,(844) 955-4401,,"American Standard, York","Air conditioner, Air handler, Controls, Furnace, Heat pump, Mini split, Packaged unit, Thermostat, Ventilation","Duct, Refrigerant"
"Affordable, reliable, HVAC comfort.",https://ameristarhvac.com,,,,(855) 578-0165,,"American Standard, Trane","Air conditioner, Air handler, Furnace, Heat pump, Packaged unit","Coil, Duct"
American Standard® Home,https://asairhome.com,,,,,,American Standard,,Duct
,https://asairproducts.com,,,,,,,,
Faucets Built for Style and Durability,https://ferguson.com,,,,(888) 222-1785,customer.support@ferguson.com,"Carrier, Gree, Rheem","Air conditioner, Controls, Furnace, Heat pump, Thermostat, Ventilation","Air filter, Capacitor, Compressor, Condensate pump, Contactor, Contactors, Duct, Fan, Filter, Grille, Insulation, Motor, Refrigerant, Relay, Relays, Seal, Thermostat"
,https://shearersupply.com,,,,,,,,
,https://theacoutlet.com,,,,,,,,
"ABR Wholesalers, Inc. - HVAC Knowledge - Equipment - Parts & Supplies",https://abrwholesalers.com,,,,(585) 482-3601,,"Aprilaire, Gree, Miller, Reznor, Rheem, WeatherKing, York","Air handler, Boiler, Controls, Dehumidifier, Furnace, Heat pump, Humidifier, Mini split, Thermostat","Air filter, Blower, Capacitor, Coil, Compressor, Condensate pump, Control board, Drain pan, Duct, Fan, Fan blade, Filter, Filter drier, Gas valve, Grille, Heat exchanger, Humidifier pad, Igniter, Insulation, Motor, Pressure switch, Relay, Relays, Seal, Sensor, Service valve, Thermocouple, Thermostat, Transformer, Txv, Wheel"
